email,genero,faixa_etaria,escolaridade_categoria,renda_media,profissao_categoria,onde_acompanha_conteudo,nivel_idioma,fala_outro_idioma_categoria,motivo_fluencia_espanhol_categoria,problema_aprender_categoria,investir_portal_vhe,tempo_antes_redes_sociais,fez_curso_espanhol,ouviu_falar_portal_vhe,lancamentos,leadscore_estimado_total,faixa_predita_por_regressao,possivel_comprador_regressivo
lead0@exemplo.com,Masculino,+55,Fundamental completo,De 1.500 a 2.500,Administrativo,YouTube,Intermediário,Inglês Básico,Todas Alternativas Acima,Falta de disciplina / foco,Sim,<1 mês,Não,Sim,L2-25,2264.36,D,False
lead1@exemplo.com,Feminino,44 - 55,Superior completo,Até 1.500,Tecnologia,Instagram,Iniciante (voltando),Inglês Básico,Todas Alternativas Acima,Outros,Sim,<1 mês,Sim,Sim,L2-25,2608.67,D,False
lead2@exemplo.com,Masculino,25 - 34,Médio completo,Não tenho renda.,Empreendedorismo,YouTube,Avançado,Não Fala Outro Idioma,Intercâmbio,Falta de disciplina / foco,Não,3-6 meses,Não,Não,L2-25,2825.51,C,False
lead3@exemplo.com,Feminino,+55,Pós-graduação completa,Não tenho renda.,Empreendedorismo,Não acompanhava,Avançado,Outros,Intercâmbio,Outros,Sim,>6 meses,Não,Sim,L2-25,2721.23,C,False
lead4@exemplo.com,Feminino,+55,Médio completo,De 2.500 a 5.000,Vendas,Instagram,Avançado,Inglês Básico,Pessoal,Falta de prática / escuta,Não,1-3 meses,Não,Sim,L2-25,2586.09,D,False
lead5@exemplo.com,Masculino,+55,Médio completo,Mais de 10.000,Saúde,YouTube,Iniciante (voltando),Outros,Trabalho,Falta de curso presencial / professor ao vivo,Sim,1-3 meses,Sim,Sim,L2-25,2759.37,C,False
lead6@exemplo.com,Feminino,+55,Médio incompleto,De 2.500 a 5.000,Saúde,Outros,Iniciante (voltando),Não Fala Outro Idioma,Pessoal,Falta de disciplina / foco,Não,<1 mês,Sim,Não,L2-25,3447.05,B,True
lead7@exemplo.com,Masculino,35 - 44,Superior incompleto,Mais de 10.000,Docência,Instagram,Intermediário,Não Fala Outro Idioma,Trabalho,Falta de prática / escuta,Sim,<1 mês,Não,Sim,L2-25,3619.72,B,True
lead8@exemplo.com,Masculino,18 - 24,Superior completo,Não tenho renda.,Saúde,YouTube,Perdido,Não Fala Outro Idioma,Todas Alternativas Acima,Falta de curso presencial / professor ao vivo,Não,<1 mês,Não,Sim,L2-25,2764.34,C,False
lead9@exemplo.com,Masculino,+55,Superior completo,De 2.500 a 5.000,Saúde,Não acompanhava,Avançado,Inglês Básico,Pessoal,Falta de prática / escuta,Não,<1 mês,Não,Não,L2-25,2168.27,D,False
lead10@exemplo.com,Masculino,18 - 24,Superior completo,Mais de 10.000,Empreendedorismo,Outros,Perdido,Inglês Intermediário ou Avançado,Trabalho,Falta de disciplina / foco,Não,>6 meses,Sim,Não,L2-25,3010.88,C,False
lead11@exemplo.com,Masculino,25 - 34,Pós-graduação completa,De 5.000 a 10.000,Docência,Facebook,Iniciante (voltando),Inglês Básico,Intercâmbio,Outros,Não,<1 mês,Sim,Sim,L2-25,2699.0,C,False
lead12@exemplo.com,Feminino,25 - 34,Superior incompleto,Até 1.500,CLT,Facebook,Perdido,Não Fala Outro Idioma,Trabalho,Falta de curso presencial / professor ao vivo,Não,1-3 meses,Sim,Não,L2-25,3408.92,B,True
lead13@exemplo.com,Feminino,25 - 34,Fundamental completo,De 1.500 a 2.500,CLT,Outros,Intermediário,Outros,Viagem,Nada impede,Não,<1 mês,Não,Sim,L2-25,2659.96,C,False
lead14@exemplo.com,Masculino,25 - 34,Superior completo,Até 1.500,Vendas,Instagram,Intermediário,Inglês Básico,Todas Alternativas Acima,Falta de curso presencial / professor ao vivo,Sim,>6 meses,Não,Não,L2-25,2216.9,D,False
lead15@exemplo.com,Feminino,25 - 34,Fundamental completo,De 5.000 a 10.000,Administrativo,Outros,Iniciante (voltando),Inglês Básico,Todas Alternativas Acima,Falta de disciplina / foco,Não,>6 meses,Sim,Não,L2-25,2901.11,C,False
lead16@exemplo.com,Masculino,18 - 24,Médio completo,Não tenho renda.,Tecnologia,Facebook,Iniciante (voltando),Inglês Intermediário ou Avançado,Viagem,Outros,Não,>6 meses,Sim,Sim,L2-25,2258.39,D,False
lead17@exemplo.com,Feminino,18 - 24,Superior incompleto,De 1.500 a 2.500,Saúde,Facebook,Intermediário,Outros,Pessoal,Nada impede,Sim,<1 mês,Não,Sim,L2-25,2484.92,D,False
lead18@exemplo.com,Feminino,25 - 34,Superior completo,De 5.000 a 10.000,Tecnologia,Instagram,Avançado,Inglês Básico,Todas Alternativas Acima,Nada impede,Sim,>6 meses,Sim,Sim,L2-25,2905.83,C,False
lead19@exemplo.com,Masculino,18 - 24,Fundamental completo,Até 1.500,Tecnologia,Facebook,Avançado,Inglês Intermediário ou Avançado,Trabalho,Nada impede,Não,<1 mês,Sim,Não,L2-25,2190.36,D,False
lead20@exemplo.com,Masculino,18 - 24,Superior completo,De 5.000 a 10.000,Saúde,Instagram,Iniciante (voltando),Inglês Intermediário ou Avançado,Pessoal,Nada impede,Não,<1 mês,Não,Sim,L2-25,2653.87,C,False
lead21@exemplo.com,Feminino,+55,Médio completo,De 2.500 a 5.000,CLT,Instagram,Perdido,Inglês Básico,Intercâmbio,Falta de disciplina / foco,Sim,1-3 meses,Não,Não,L2-25,2591.39,D,False
