email,genero,faixa_etaria,escolaridade_categoria,renda_media,profissao_categoria,onde_acompanha_conteudo,nivel_idioma,fala_outro_idioma_categoria,motivo_fluencia_espanhol_categoria,problema_aprender_categoria,investir_portal_vhe,tempo_antes_redes_sociais,fez_curso_espanhol,ouviu_falar_portal_vhe
lead0@exemplo.com,Masculino,45-54,Médio,2k-5k,Desempregado,LinkedIn,Iniciante,Sim,Trabalho,Falta de tempo,Não,1-3 meses,Não,Não
lead1@exemplo.com,Feminino,35-44,Superior,5k-10k,CLT,YouTube,Intermediário,Não,Viagem,Nenhum,Sim,<1 mês,Sim,Não
lead2@exemplo.com,Masculino,45-54,Superior,+10k,Estudante,Instagram,Avançado,Sim,Viagem,Falta de tempo,Sim,<1 mês,Sim,Sim
lead3@exemplo.com,Masculino,25-34,Médio,2k-5k,CLT,LinkedIn,Iniciante,Sim,Pessoal,Nenhum,Não,>6 meses,Sim,Não
lead4@exemplo.com,Masculino,25-34,Superior,<2k,Estudante,LinkedIn,Iniciante,Sim,Pessoal,Falta de tempo,Não,>6 meses,Sim,Sim
lead5@exemplo.com,Feminino,18-24,Fundamental,5k-10k,Estudante,YouTube,Iniciante,Sim,Trabalho,Falta de disciplina,Sim,<1 mês,Não,Não
lead6@exemplo.com,Masculino,+55,Superior,+10k,Estudante,YouTube,Intermediário,Não,Pessoal,Falta de disciplina,Sim,>6 meses,Sim,Sim
lead7@exemplo.com,Masculino,45-54,Médio,<2k,Desempregado,Facebook,Intermediário,Sim,Viagem,Falta de disciplina,Sim,1-3 meses,Não,Não
lead8@exemplo.com,Masculino,18-24,Fundamental,+10k,Empreendedor,Instagram,Intermediário,Sim,Viagem,Falta de tempo,Não,1-3 meses,Sim,Não
lead9@exemplo.com,Feminino,+55,Médio,2k-5k,Empreendedor,LinkedIn,Intermediário,Não,Pessoal,Nenhum,Não,>6 meses,Não,Sim
lead10@exemplo.com,Masculino,45-54,Pós,2k-5k,Desempregado,Facebook,Avançado,Sim,Viagem,Falta de tempo,Sim,<1 mês,Sim,Não
lead11@exemplo.com,Masculino,35-44,Fundamental,<2k,Empreendedor,Instagram,Iniciante,Não,Pessoal,Falta de disciplina,Sim,1-3 meses,Não,Não
lead12@exemplo.com,Masculino,45-54,Fundamental,+10k,Desempregado,Facebook,Avançado,Sim,Viagem,Falta de tempo,Sim,3-6 meses,Não,Não
lead13@exemplo.com,Masculino,25-34,Superior,5k-10k,CLT,Instagram,Intermediário,Sim,Trabalho,Nenhum,Não,<1 mês,Sim,Não
lead14@exemplo.com,Feminino,25-34,Fundamental,5k-10k,Desempregado,Instagram,Intermediário,Sim,Pessoal,Falta de disciplina,Não,<1 mês,Sim,Sim
lead15@exemplo.com,Masculino,35-44,Médio,<2k,Empreendedor,LinkedIn,Avançado,Não,Pessoal,Falta de tempo,Sim,3-6 meses,Não,Sim
lead16@exemplo.com,Feminino,18-24,Superior,<2k,Empreendedor,Instagram,Iniciante,Sim,Pessoal,Nenhum,Sim,3-6 meses,Não,Sim
